,skin_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,latitude,longitude,image_date
BE-Lon,283.0015869140625,281.34938049316406,280.04429626464844,280.0357208251953,283.20263671875,0.4105072021484375,0.413543701171875,0.3968505859375,0.3436737060546875,50.55162,4.746234,2012-01-01
CZ-KrP,274.37835693359375,273.62611389160156,274.27732849121094,277.2398376464844,280.6469268798828,0.3455047607421875,0.3512420654296875,0.3647308349609375,0.365386962890625,49.573257,15.078773,2014-01-01
FI-Qvd,273.7578430175781,274.2730712890625,274.8156280517578,276.23069763183594,278.9269104003906,0.3089599609375,0.320220947265625,0.326995849609375,0.29620361328125,60.295242,22.391607,2018-01-01
FR-Aur,283.6090087890625,282.90406799316406,282.29820251464844,282.6392364501953,288.14404296875,0.3533782958984375,0.3366546630859375,0.2601776123046875,0.2746429443359375,43.54965,1.106103,2012-01-01
FR-Gri,284.2574462890625,283.06031799316406,282.04820251464844,281.2486114501953,284.98583984375,0.39508056640625,0.393890380859375,0.3520965576171875,0.30255126953125,48.84422,1.95191,2012-01-01
DE-RuS,282.3570556640625,280.62086486816406,279.24742126464844,279.7447052001953,283.06201171875,0.404296875,0.40142822265625,0.359100341796875,0.328948974609375,50.865906,6.4471445,2012-01-01
IT-BCi,,,,,,,,,,40.52375,14.957444,2012-01-01
DK-Sor,275.0679931640625,275.36305236816406,275.82554626464844,278.8560333251953,281.81396484375,0.371368408203125,0.3764801025390625,0.3791656494140625,0.3602294921875,55.48587,11.644645,2012-01-01
FR-Fon,284.3277587890625,283.07398986816406,282.00718688964844,281.1099395751953,285.23193359375,0.384307861328125,0.3793182373046875,0.3130035400390625,0.2858123779296875,48.476357,2.780096,2012-01-01
FR-Hes,276.27874755859375,276.42884826660156,276.79881286621094,279.2749938964844,281.9652862548828,0.3911895751953125,0.3983154296875,0.40521240234375,0.39544677734375,48.6741,7.06465,2014-01-01
DE-Hai,277.9097900390625,276.87281799316406,276.22007751464844,278.0806427001953,281.25732421875,0.393463134765625,0.3730316162109375,0.315582275390625,0.3201141357421875,51.079407,10.452089,2012-01-01
FI-Let,269.6949462890625,272.70875549316406,273.93687438964844,276.1333770751953,279.39013671875,0.39337158203125,0.406494140625,0.41473388671875,0.3921661376953125,60.64183,23.95952,2012-01-01
FI-Var,268.7089080810547,272.2885437011719,272.6766815185547,273.7452697753906,275.4663543701172,0.402862548828125,0.4067535400390625,0.415313720703125,0.458343505859375,67.7549,29.61,2016-01-01
FR-Bil,282.17132568359375,282.55189514160156,282.84568786621094,283.2867126464844,285.6234893798828,0.26959228515625,0.2741851806640625,0.270172119140625,0.238128662109375,44.493652,-0.956092,2014-01-01
DE-RuW,280.3726806640625,278.64039611816406,277.18687438964844,277.6939239501953,280.99560546875,0.430084228515625,0.4268798828125,0.41204833984375,0.380950927734375,50.50493,6.3309627,2012-01-01
IL-Yat,277.9136962890625,280.65602111816406,285.98374938964844,289.1782989501953,295.39990234375,0.1274871826171875,0.2139129638671875,0.2291717529296875,0.19097900390625,31.34504,35.05198,2012-01-01
IT-Ren,262.7808837890625,271.33766174316406,271.81968688964844,273.5318145751953,276.49560546875,0.2472381591796875,0.2457122802734375,0.240081787109375,0.2651214599609375,46.58686,11.43369,2012-01-01
IT-SR2,274.4113311767578,276.6183319091797,280.01109313964844,283.47703552246094,288.0271911621094,0.3819580078125,0.3878021240234375,0.3976287841796875,0.3840484619140625,43.73202,10.29091,2013-01-01
RU-Fy2,273.28858947753906,271.7103576660156,272.0738220214844,273.5222930908203,277.5435485839844,0.3581695556640625,0.358856201171875,0.3453521728515625,0.331939697265625,56.447603,32.901878,2015-01-01
SE-Htm,275.88624572753906,274.4252014160156,273.0757751464844,275.8465118408203,281.1412048339844,0.2567138671875,0.2558441162109375,0.2796173095703125,0.24346923828125,56.09763,13.41897,2015-01-01
SE-Nor,277.22406005859375,277.07533264160156,276.88865661621094,277.5835876464844,279.4438018798828,0.267578125,0.2774658203125,0.277130126953125,0.2442474365234375,60.0865,17.479504,2014-01-01
SE-Svb,272.32757568359375,272.27064514160156,272.64842224121094,273.6890563964844,276.0609893798828,0.2661590576171875,0.275665283203125,0.2794189453125,0.256439208984375,64.25611,19.7745,2014-01-01
SE-Ros,272.49749755859375,272.07337951660156,272.59568786621094,273.6988220214844,276.1098175048828,0.2725982666015625,0.277984619140625,0.2838897705078125,0.257080078125,64.1725,19.738,2014-01-01
BE-Dor,282.5074462890625,280.74391174316406,279.38414001464844,279.4517364501953,282.73388671875,0.419403076171875,0.420867919921875,0.403839111328125,0.3459320068359375,50.311874,4.968113,2012-01-01
DE-RuR,281.6090087890625,279.91773986816406,278.51695251464844,278.9204864501953,282.28662109375,0.4163818359375,0.41583251953125,0.395416259765625,0.3397369384765625,50.621914,6.304126,2012-01-01
BE-Vie,280.9722900390625,279.01930236816406,277.68882751464844,278.2212677001953,281.41748046875,0.4319915771484375,0.4302520751953125,0.41455078125,0.3886260986328125,50.304962,5.998099,2012-01-01
IT-Lsn,270.9725799560547,274.6225280761719,277.3153533935547,280.9444885253906,285.9038543701172,0.32611083984375,0.3339385986328125,0.35552978515625,0.3724517822265625,45.740482,12.750297,2016-01-01
ES-Agu,282.0367431640625,282.81617736816406,286.30210876464844,288.5161895751953,294.11865234375,0.105255126953125,0.1758880615234375,0.18505859375,0.1802978515625,36.940046,-2.033208,2012-01-01
ES-LJu,274.5855712890625,277.71656799316406,281.01499938964844,283.1763458251953,288.54638671875,0.1747894287109375,0.2032928466796875,0.1714324951171875,0.1873016357421875,36.926594,-2.752115,2012-01-01
SE-Deg,263.0191650390625,272.44313049316406,272.82359313964844,273.8775177001953,276.57177734375,0.226837158203125,0.231170654296875,0.2361602783203125,0.2613983154296875,64.18203,19.55654,2012-01-01
ES-Abr,269.99366760253906,274.5834045410156,278.7632751464844,283.2117462158203,289.8755798339844,0.2811126708984375,0.288421630859375,0.257537841796875,0.214630126953125,38.701839,-6.785881,2015-01-01
ES-LM1,278.96429443359375,279.14564514160156,279.36326599121094,281.3257751464844,286.3754425048828,0.42340087890625,0.4190826416015625,0.410736083984375,0.339630126953125,39.94269,-5.778683,2014-01-01
ES-LM2,278.83148193359375,279.05384826660156,279.30662536621094,281.2632751464844,286.1352081298828,0.420562744140625,0.4112091064453125,0.412811279296875,0.3403167724609375,39.934592,-5.775881,2014-01-01
ES-Cnd,277.25140380859375,277.64173889160156,278.20506286621094,281.5210876464844,287.6391143798828,0.3457183837890625,0.3497161865234375,0.2422027587890625,0.318695068359375,37.914998,-3.227659,2014-01-01
