,Station_Name,Start_Date,End_Date
0,BE-Lon,2012-01-01T00:00,2020-12-31T23:30
1,CZ-KrP,2014-01-01T00:00,2020-12-31T23:30
2,FI-Qvd,2018-01-01T00:00,2020-12-31T23:30
3,FR-Aur,2012-01-01T00:00,2020-12-31T23:30
4,FR-Gri,2012-01-01T00:00,2020-12-31T23:30
5,DE-RuS,2012-01-01T00:00,2020-12-31T23:30
6,IT-BCi,2012-01-01T00:00,2020-12-31T23:30
7,DK-Sor,2012-01-01T00:00,2020-12-31T23:30
8,FR-Fon,2012-01-01T00:00,2020-12-31T23:30
9,FR-Hes,2014-01-01T00:00,2020-12-31T23:30
10,DE-Hai,2012-01-01T00:00,2020-12-31T23:30
11,FI-Let,2012-01-01T00:00,2020-12-31T23:30
12,FI-Var,2016-01-01T00:00,2020-12-31T23:30
13,FR-Bil,2014-01-01T00:00,2020-12-31T23:30
14,DE-RuW,2012-01-01T00:00,2020-12-31T23:30
15,IL-Yat,2012-01-01T00:00,2020-12-31T23:30
16,IT-Ren,2012-01-01T00:00,2020-12-31T23:30
17,IT-SR2,2013-01-01T00:00,2020-12-31T23:30
18,RU-Fy2,2015-01-01T00:00,2020-12-31T23:30
19,SE-Htm,2015-01-01T00:00,2020-12-31T23:30
20,SE-Nor,2014-01-01T00:00,2020-12-31T23:30
21,SE-Svb,2014-01-01T00:00,2020-12-31T23:30
22,SE-Ros,2014-01-01T00:00,2020-12-31T23:30
23,BE-Dor,2012-01-01T00:00,2020-12-31T23:30
24,DE-RuR,2012-01-01T00:00,2020-12-31T23:30
25,BE-Vie,2012-01-01T00:00,2020-12-31T23:30
26,IT-Lsn,2016-01-01T00:00,2020-12-31T23:30
27,ES-Agu,2012-01-01T00:00,2020-12-31T23:30
28,ES-LJu,2012-01-01T00:00,2020-12-31T23:30
29,SE-Deg,2012-01-01T00:00,2020-12-31T23:30
30,ES-Abr,2015-01-01T00:00,2020-12-31T23:30
31,ES-LM1,2014-01-01T00:00,2020-12-31T23:30
32,ES-LM2,2014-01-01T00:00,2020-12-31T23:30
33,ES-Cnd,2014-01-01T00:00,2020-12-31T23:30
